ID,LocMet,Method,Location,Sample,Lat,Lon,Taxon,Phylum,Class,Order,Suborder,Family, Genus,Species, FFG,Abundance,Relative_Abundance
ND1,NetDrained,Net,Drained,1,0,0,Gammaridae,Arthropoda,"	Malacostraca",Amphipoda,Senticaudata,Gammaridae,NA,NA,Sh,4,0.15980823
ND1,NetDrained,Net,Drained,1,0,0,Anomopoda,Arthropoda,Branchiopoda,Anomopoda,NA,Daphniidae,Daphnia,NA,Ft,543,21.69396724
ND1,NetDrained,Net,Drained,1,0,0,Cyclopoida,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,Pr,1,0.039952058
ND1,NetDrained,Net,Drained,1,0,0,Coleoptera larvae,Arthropoda,Insecta,Coleoptera,NA,NA,NA,NA,Pr,4,0.15980823
ND2,NetDrained,Net,Drained,2,0,0,Gammaridae,Arthropoda,"	Malacostraca",Amphipoda,Senticaudata,Gammaridae,NA,NA,Sh,2,0.079904115
ND3,NetDrained,Net,Drained,3,0,0,Corixidae,Arthropoda,Insecta,Hemiptera,Heteroptera,Corixidae,NA,NA,Sc,4,0.15980823
ND3,NetDrained,Net,Drained,3,0,0,Anomopoda,Arthropoda,Branchiopoda,Anomopoda,NA,Daphniidae,Daphnia,NA,Ft,243,9.70834998
ND4,NetDrained,Net,Drained,4,0,0,Corixidae,Arthropoda,Insecta,Hemiptera,Heteroptera,Corixidae,NA,NA,Sc,2,0.079904115
ND4,NetDrained,Net,Drained,4,0,0,Gammaridae,Arthropoda,"	Malacostraca",Amphipoda,Senticaudata,Gammaridae,NA,NA,Sh,11,0.439472633
ND4,NetDrained,Net,Drained,4,0,0,Anomopoda,Arthropoda,Branchiopoda,Anomopoda,NA,Daphniidae,Daphnia,NA,Ft,1686,67.359169
ND4,NetDrained,Net,Drained,4,0,0,Cyclopoida,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,Pr,3,0.119856173
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Corixidae,Arthropoda,Insecta,Hemiptera,Heteroptera,Corixidae,NA,NA,Sc,1,0.003254149
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Noteridae,Arthropoda,Insecta,Coleoptera,Adephaga,Noteridae,NA,NA,Pr,1,0.003254149
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Gammaridae,Arthropoda,"	Malacostraca",Amphipoda,Senticaudata,Gammaridae,NA,NA,Sh,3,0.009762447
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Lumbriculidae,Annelida,Clitellata,Lumbriculida,NA,Lumbriculidae,NA,NA,CG,1,0.003254149
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Diptera larvae,Arthropoda,Insecta,Diptera,NA,NA,NA,NA,Pr,2,0.006508298
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Chironomidae larvae,Arthropoda,Insecta,Diptera,NA,Chironomidae,NA,NA,CG,3,0.009762447
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Podocopida,Arthropoda,Ostracoda,Podocopida,NA,NA,NA,NA,Ft,3,0.009762447
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Anomopoda,Arthropoda,Branchiopoda,Anomopoda,NA,Daphniidae,Daphnia,NA,Ft,4104,13.35502766
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Coleoptera larvae,Arthropoda,Insecta,Coleoptera,NA,NA,NA,NA,Pr,1,0.003254149
NP1,NetPaludiculture,Net,Paludiculture,1,0,0,Brachytron pratense larvae,Arthropoda,Insecta,Odonata,Anisoptera,Aeshnidae,Brachytron,pratense,Pr,1,0.003254149
NP2,NetPaludiculture,Net,Paludiculture,2,0,0,Notonectidae,Arthropoda,Insecta,Hemiptera,Heteroptera,Notonectidae,NA,NA,Pr,3,0.009762447
NP2,NetPaludiculture,Net,Paludiculture,2,0,0,Corixidae,Arthropoda,Insecta,Hemiptera,Heteroptera,Corixidae,NA,NA,Sc,16,0.052066385
NP2,NetPaludiculture,Net,Paludiculture,2,0,0,Gammaridae,Arthropoda,"	Malacostraca",Amphipoda,Senticaudata,Gammaridae,NA,NA,Sh,6,0.019524894
NP2,NetPaludiculture,Net,Paludiculture,2,0,0,Chironomidae larvae,Arthropoda,Insecta,Diptera,NA,Chironomidae,NA,NA,CG,2,0.006508298
NP2,NetPaludiculture,Net,Paludiculture,2,0,0,Anomopoda,Arthropoda,Branchiopoda,Anomopoda,NA,Daphniidae,Daphnia,NA,Ft,21141,68.79596486
NP2,NetPaludiculture,Net,Paludiculture,2,0,0,Coleoptera larvae,Arthropoda,Insecta,Coleoptera,NA,NA,NA,NA,Pr,1,0.003254149
NP3,NetPaludiculture,Net,Paludiculture,3,0,0,Micronectidae,Arthropoda,Insecta,Hemiptera,Heteroptera,Micronectidae,NA,NA,Pr,3,0.009762447
NP3,NetPaludiculture,Net,Paludiculture,3,0,0,Notonectidae,Arthropoda,Insecta,Hemiptera,Heteroptera,Notonectidae,NA,NA,Pr,1,0.003254149
NP3,NetPaludiculture,Net,Paludiculture,3,0,0,Lumbriculidae,Annelida,Clitellata,Lumbriculida,NA,Lumbriculidae,NA,NA,CG,3,0.009762447
NP3,NetPaludiculture,Net,Paludiculture,3,0,0,Sphaerium,Mollusca,BiSamplervia,Sphaeriida,NA,Sphaeriidae,Sphaerium,NA,Ft,1,0.003254149
NP3,NetPaludiculture,Net,Paludiculture,3,0,0,Podocopida,Arthropoda,Ostracoda,Podocopida,NA,NA,NA,NA,Ft,8,0.026033192
NP3,NetPaludiculture,Net,Paludiculture,3,0,0,Anomopoda,Arthropoda,Branchiopoda,Anomopoda,NA,Daphniidae,Daphnia,NA,Ft,3780,12.30068337
NP3,NetPaludiculture,Net,Paludiculture,3,0,0,Cyclopoida,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA,NA,Pr,1,0.003254149
