ID,LocMet,Method,Location,Sample, FFG,Abundance,Relative_Abundance
ND1,NetDrained,Net,Drained,1,Shredder,4,0.15980823
ND1,NetDrained,Net,Drained,1,Filter Feeder,543,21.69396724
ND1,NetDrained,Net,Drained,1,Predator,5,0.199760288
ND2,NetDrained,Net,Drained,2,Shredder,2,0.079904115
ND3,NetDrained,Net,Drained,3,Scraper,4,0.15980823
ND3,NetDrained,Net,Drained,3,Filter Feeder,243,9.70834998
ND4,NetDrained,Net,Drained,4,Scraper,2,0.079904115
ND4,NetDrained,Net,Drained,4,Shredder,11,0.439472633
ND4,NetDrained,Net,Drained,4,Filter Feeder,1686,67.359169
ND4,NetDrained,Net,Drained,4,Predator,3,0.119856173
NP1,NetPaludiculture,Net,Paludiculture,1,Scraper,1,0.003254149
NP1,NetPaludiculture,Net,Paludiculture,1,Predator,5,0.016270745
NP1,NetPaludiculture,Net,Paludiculture,1,Shredder,3,0.009762447
NP1,NetPaludiculture,Net,Paludiculture,1,Collector Gatherer,4,0.013016596
NP1,NetPaludiculture,Net,Paludiculture,1,Filter Feeder,4107,13.36479011
NP2,NetPaludiculture,Net,Paludiculture,2,Predator,4,0.013016596
NP2,NetPaludiculture,Net,Paludiculture,2,Scraper,16,0.052066385
NP2,NetPaludiculture,Net,Paludiculture,2,Shredder,6,0.019524894
NP2,NetPaludiculture,Net,Paludiculture,2,Collector Gatherer,2,0.006508298
NP2,NetPaludiculture,Net,Paludiculture,2,Filter Feeder,21141,68.79596486
NP3,NetPaludiculture,Net,Paludiculture,3,Predator,5,0.016270745
NP3,NetPaludiculture,Net,Paludiculture,3,Collector Gatherer,3,0.009762447
NP3,NetPaludiculture,Net,Paludiculture,3,Filter Feeder,3789,12.32997071
NP4,NetPaludiculture,Net,Paludiculture,4,Collector Gatherer,2,0.006508298
NP4,NetPaludiculture,Net,Paludiculture,4,Filter Feeder,1641,5.340058575
NP4,NetPaludiculture,Net,Paludiculture,4,Predator,1,0.003254149
NI1,NetRestored,Net,Restored,1,Scraper,3,0.06557377
NI1,NetRestored,Net,Restored,1,Collector Gatherer,20,0.43715847
NI1,NetRestored,Net,Restored,1,Predator,26,0.568306011
NI1,NetRestored,Net,Restored,1,Filter Feeder,37,0.808743169
NI1,NetRestored,Net,Restored,1,Detritivore,8,0.174863388
NI2,NetRestored,Net,Restored,2,Shredder,2,0.043715847
NI2,NetRestored,Net,Restored,2,Filter Feeder,2986,65.26775956
NI3,NetRestored,Net,Restored,3,Scraper,81,1.770491803
NI3,NetRestored,Net,Restored,3,Predator,8,0.174863388
NI3,NetRestored,Net,Restored,3,Filter Feeder,1081,23.6284153
NI4,NetRestored,Net,Restored,4,Predator,27,0.590163934
